title,episode_url,download_url
Ep 144: Monarchy,https://www.podbean.com/site/EpisodeDownload/PB12BBABAC8HIJ,https://mcdn.podbean.com/mf/download/64acsz/Monarchy_Podcasta1hac.mp3
Ep 143: Metaphysics,https://www.podbean.com/site/EpisodeDownload/PB12BA763Z2PS8,https://mcdn.podbean.com/mf/download/ss24fq/Metaphysics_Podcast7yrfh.mp3
Ep 142: Multiverses,https://www.podbean.com/site/EpisodeDownload/PB12B8BA69KJ7W,https://mcdn.podbean.com/mf/download/88pjaj/Multiverses_podcast9sak5.mp3
Ep 141: The Mathematicians’ Misconception,https://www.podbean.com/site/EpisodeDownload/PB12B7A22X4RDJ,https://mcdn.podbean.com/mf/download/6fdmmi/The_mathematician_s_misconception_podcast76qt3.mp3
Ep 140: Mathematics,https://www.podbean.com/site/EpisodeDownload/PB12B74678JVZV,https://mcdn.podbean.com/mf/download/t53ifd/Mathematics_podcast90egw.mp3
Ep 139: Misconceptions,https://www.podbean.com/site/EpisodeDownload/PB12B64F78AHCP,https://mcdn.podbean.com/mf/download/mna88b/Misconceptions_Episode71dgu.mp3
Ep 138: Things that make you go mmmmm? Part 5: Minds II - Part the Second,https://www.podbean.com/site/EpisodeDownload/PB12B53964ZTKU,https://mcdn.podbean.com/mf/download/kwszzs/MINDS_II_Podcasta007y.mp3
Ep 137: Things that make you go mmmmm? Part 4: Minds - Part the First,https://www.podbean.com/site/EpisodeDownload/PB12B32AA64HHF,https://mcdn.podbean.com/mf/download/7vsxp2/Minds_Podcast_Part_1au0dy.mp3
Ep 136: Things that make you go mmmmm? Part 3: Multiverses,https://www.podbean.com/site/EpisodeDownload/PB12AD789BWINF,https://mcdn.podbean.com/mf/download/6wy7ut/Multiverses_Podcastb8mds.mp3
Ep 135: Lookouts,https://www.podbean.com/site/EpisodeDownload/PB12AC446SKXUI,https://mcdn.podbean.com/mf/download/ujxe89/Lookouts_Podcastaa1nb.mp3
Ep 134: Things that make you go mmmmm? Part 2: Mathematics,https://www.podbean.com/site/EpisodeDownload/PB12AA89E5FF4M,https://mcdn.podbean.com/mf/download/y3vkvd/Part_2_Mathematics_Podcast76hln.mp3
Ep 133: Things that make you go mmmmmm? Part 1: Many Misconceptions,https://www.podbean.com/site/EpisodeDownload/PB12A9102KC52A,https://mcdn.podbean.com/mf/download/ur4zde/Things_that_make_u_go_m_Podcastaizlg.mp3
Ep 132: David Deutsch’s ”The Fabric of Reality” Chapter 7 ”A Conversation about Justification”. Part 2,https://www.podbean.com/site/EpisodeDownload/PB12A6775GAEFP,https://mcdn.podbean.com/mf/download/b69qrh/Ch_7_Pt_3_Podcast8rg5x.mp3
Ep 131:Corroboration? Excerpts and Analysis of Popper’s ”Realism & The Aim of Science”.,https://www.podbean.com/site/EpisodeDownload/PB12A15DEJINSM,https://mcdn.podbean.com/mf/download/g67vn5/Realism_and_the_aim_of_science6gwkr.mp3
Ep 130: Steven Pinker’s ”Rationality” Ch 6 ”Risk and Reward” (Rational Choice & Expected Utility). Analysis.,https://www.podbean.com/site/EpisodeDownload/PB1299317U74MS,https://mcdn.podbean.com/mf/download/v5ir43/Pinker_Ch_6_podcast8i9v8.mp3
Ep 129: David Deutsch’s ”The Fabric of Reality” Chapter 7 ”A Conversation about Justification”.,https://www.podbean.com/site/EpisodeDownload/PB12865D5KXIUA,https://mcdn.podbean.com/mf/download/te2fqp/Chapter_7_Part_16lb5l.mp3
